compound,coverage,aac_std,manual_moa_class,pubchem_link,chembl_link,google_link
BRD-K03536150,507,0.07085963,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K03536150,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K03536150,https://www.google.com/search?q=BRD-K03536150%20mechanism%20of%20action
RAD51 inhibitor B02,506,0.06964603,,https://pubchem.ncbi.nlm.nih.gov/#query=RAD51%20inhibitor%20B02,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=RAD51%20inhibitor%20B02,https://www.google.com/search?q=RAD51%20inhibitor%20B02%20mechanism%20of%20action
Indisulam,506,0.10338459,,https://pubchem.ncbi.nlm.nih.gov/#query=Indisulam,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Indisulam,https://www.google.com/search?q=Indisulam%20mechanism%20of%20action
Triptolide,506,0.08562212,,https://pubchem.ncbi.nlm.nih.gov/#query=Triptolide,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Triptolide,https://www.google.com/search?q=Triptolide%20mechanism%20of%20action
BRD-K51490254,505,0.04127022,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K51490254,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K51490254,https://www.google.com/search?q=BRD-K51490254%20mechanism%20of%20action
BRD-K66532283,505,0.07985423,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K66532283,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K66532283,https://www.google.com/search?q=BRD-K66532283%20mechanism%20of%20action
ML320,505,0.071822576,,https://pubchem.ncbi.nlm.nih.gov/#query=ML320,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ML320,https://www.google.com/search?q=ML320%20mechanism%20of%20action
Cyclosporin A,503,0.07451296,,https://pubchem.ncbi.nlm.nih.gov/#query=Cyclosporin%20A,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Cyclosporin%20A,https://www.google.com/search?q=Cyclosporin%20A%20mechanism%20of%20action
crizotinib:PLX-4032 (2:1 mol/mol),503,0.089127764,,https://pubchem.ncbi.nlm.nih.gov/#query=crizotinib%3APLX-4032%20%282%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=crizotinib%3APLX-4032%20%282%3A1%20mol/mol%29,https://www.google.com/search?q=crizotinib%3APLX-4032%20%282%3A1%20mol/mol%29%20mechanism%20of%20action
Serdemetan,503,0.08354528,,https://pubchem.ncbi.nlm.nih.gov/#query=Serdemetan,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Serdemetan,https://www.google.com/search?q=Serdemetan%20mechanism%20of%20action
KHS101,502,0.06191161,,https://pubchem.ncbi.nlm.nih.gov/#query=KHS101,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=KHS101,https://www.google.com/search?q=KHS101%20mechanism%20of%20action
BRD-K45681478,502,0.07874794,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K45681478,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K45681478,https://www.google.com/search?q=BRD-K45681478%20mechanism%20of%20action
MK-0752,502,0.041854065,,https://pubchem.ncbi.nlm.nih.gov/#query=MK-0752,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=MK-0752,https://www.google.com/search?q=MK-0752%20mechanism%20of%20action
Necrostatin-7,502,0.04839283,,https://pubchem.ncbi.nlm.nih.gov/#query=Necrostatin-7,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Necrostatin-7,https://www.google.com/search?q=Necrostatin-7%20mechanism%20of%20action
