compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
ML210,RidgeCV,pathway_modules,multiomics_pathway,3,256,64,0.43787174005087853,0.32097437014889246,0.20541780481564403,0.17740989441653604,0.14548424653370062
ML210,RidgeCV,pathway_modules,multiomics_pathway,4,256,64,0.5313225790190234,0.5518488874171005,0.17554260799938948,0.1379659689776259,0.2755973225193412
ML210,RidgeCV,pathway_modules,multiomics_pathway,5,256,64,0.2521203018395807,0.2893315018315018,0.21717637540394452,0.17759797582446998,-0.04208749929775446
CAY10618,RidgeCV,pathway_modules,multiomics_pathway,1,293,74,0.33126380295013863,0.3618242267720575,0.17612858033084203,0.13784142557887877,0.06678128712289955
CAY10618,RidgeCV,pathway_modules,multiomics_pathway,2,293,74,0.5285241043513164,0.5750907071455015,0.1625235418076239,0.13021971511986546,0.2453931830099656
CAY10618,RidgeCV,pathway_modules,multiomics_pathway,3,294,73,0.46240909838141275,0.4865632040821371,0.16877375142013867,0.14028573962268562,0.21050810530654895
CAY10618,RidgeCV,pathway_modules,multiomics_pathway,4,294,73,0.24816790592601606,0.2414846353202518,0.1631852325899543,0.1289894593882581,0.03359413929868693
CAY10618,RidgeCV,pathway_modules,multiomics_pathway,5,294,73,0.4800450841917226,0.45936690114772316,0.1597130949889459,0.1291983233607899,0.2276031135416885
Parbendazole,RidgeCV,pathway_modules,multiomics_pathway,1,284,72,0.450366742070663,0.3924040468696556,0.18115029764130947,0.1470598465569515,0.18292242609235265
Parbendazole,RidgeCV,pathway_modules,multiomics_pathway,2,285,71,0.4328695016110512,0.3352308453407996,0.17119627466213752,0.1449179470808804,0.14724398183630782
Parbendazole,RidgeCV,pathway_modules,multiomics_pathway,3,285,71,0.5897524237898575,0.5554996646545942,0.13960103874261479,0.10720298022997109,0.3313526672952283
Parbendazole,RidgeCV,pathway_modules,multiomics_pathway,4,285,71,0.5660429991980522,0.5188973476206707,0.15295209932423262,0.12088474681191176,0.31317823351586094
Parbendazole,RidgeCV,pathway_modules,multiomics_pathway,5,285,71,0.611160076230879,0.4990274983232729,0.15104672932445484,0.12957110407870015,0.33555392805366624
Clofarabine,RidgeCV,pathway_modules,multiomics_pathway,1,264,66,0.5096206384552381,0.2642104164492225,0.1899112336950298,0.15173336341289723,0.19532205660974666
Clofarabine,RidgeCV,pathway_modules,multiomics_pathway,2,264,66,0.6010538076396679,0.5848511100528362,0.1591572091898426,0.12930102878409064,0.32969346167040947
Clofarabine,RidgeCV,pathway_modules,multiomics_pathway,3,264,66,0.414020739319725,0.28984448387433465,0.16362710461984692,0.13701174471396027,0.1651671607551226
Clofarabine,RidgeCV,pathway_modules,multiomics_pathway,4,264,66,0.6437745266013501,0.4951881932378896,0.1718546823634847,0.13947194652839778,0.3887355000446582
Clofarabine,RidgeCV,pathway_modules,multiomics_pathway,5,264,66,0.4772323831068446,0.2204594558042618,0.16663146306251148,0.14117305160434673,0.21927018507354634
Vincristine,RidgeCV,pathway_modules_lineage,multiomics_pathway,1,299,75,0.5552346149343994,0.5825604551920341,0.21811803704963273,0.17237508139912117,0.2942406056722109
Vincristine,RidgeCV,pathway_modules_lineage,multiomics_pathway,2,299,75,0.589407057368794,0.5699573257467994,0.19945538229530477,0.15922136722835528,0.32982065367985836
Vincristine,RidgeCV,pathway_modules_lineage,multiomics_pathway,3,299,75,0.718878621795893,0.7091891891891893,0.1383752821738042,0.1138448257873153,0.5065631222577607
Vincristine,RidgeCV,pathway_modules_lineage,multiomics_pathway,4,299,75,0.6635184975187098,0.6157894736842104,0.17620124532044343,0.13935873356802114,0.43299586294804315
Vincristine,RidgeCV,pathway_modules_lineage,multiomics_pathway,5,300,74,0.5196170308163768,0.46656793780081446,0.17915919409518258,0.151257177744542,0.2690974658538027
SB-743921,RidgeCV,pathway_modules_lineage,multiomics_pathway,1,282,71,0.5409300177667766,0.5692488262910798,0.19373962799527897,0.1526232604587552,0.26854370737949096
SB-743921,RidgeCV,pathway_modules_lineage,multiomics_pathway,2,282,71,0.4729949725936989,0.4714621059691481,0.21876641818925163,0.17071775641356407,0.22108714291104392
SB-743921,RidgeCV,pathway_modules_lineage,multiomics_pathway,3,282,71,0.5958816818587355,0.653890006706908,0.21109363750147558,0.17718934780461357,0.3281203548024756
SB-743921,RidgeCV,pathway_modules_lineage,multiomics_pathway,4,283,70,0.48678562360565686,0.4427434170238824,0.19152682065855622,0.16052239513084876,0.21948785653117642
SB-743921,RidgeCV,pathway_modules_lineage,multiomics_pathway,5,283,70,0.5099407856957923,0.48193508879363134,0.2195273298915159,0.17769038658380498,0.24504548653426017
Oligomycin A,RidgeCV,pathway_modules_lineage,multiomics_pathway,1,271,68,0.29938004376495186,0.28569247234131084,0.22802110500749925,0.185701270687308,-0.05603359035051403
Oligomycin A,RidgeCV,pathway_modules_lineage,multiomics_pathway,2,271,68,0.3684889375550985,0.4415391075313967,0.22862868628002866,0.17396855722538127,0.09492842343166552
Oligomycin A,RidgeCV,pathway_modules_lineage,multiomics_pathway,3,271,68,0.5061065057236088,0.5180745886933619,0.2012161211432989,0.17028773256268961,0.24439818275182879
Oligomycin A,RidgeCV,pathway_modules_lineage,multiomics_pathway,4,271,68,0.46521760289033365,0.5034927663472917,0.20336859234576235,0.15639534155897988,0.15970032906980303
Oligomycin A,RidgeCV,pathway_modules_lineage,multiomics_pathway,5,272,67,0.3097350388424215,0.3304733019395004,0.2602144369389148,0.19999573422652794,0.0662650350456283
