k_features,compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
1000,Leptomycin B,RidgeSelectK,early_fusion,multiomics,5,299,74,0.41687967538433823,0.4609996297667529,0.17806231122898986,0.1278150899548163,0.14318473764932338
250,KX2-391,RidgeSelectK,single_omics,expr,1,284,71,0.5189820164029839,0.4344735077129443,0.14790612674612186,0.11617297791869144,0.20746628583767257
250,KX2-391,RidgeSelectK,single_omics,expr,2,284,71,0.6825078051970358,0.6818299952452497,0.15695571640749262,0.12737813100241513,0.44589305526671075
250,KX2-391,RidgeSelectK,single_omics,expr,3,284,71,0.4989521664308967,0.35918846411804156,0.15685222893648465,0.12461317160699867,0.15462845974843986
250,KX2-391,RidgeSelectK,single_omics,expr,4,284,71,0.5689711016473298,0.5025150905432595,0.16591616836694517,0.12946200984173184,0.2872729792974622
250,KX2-391,RidgeSelectK,single_omics,expr,5,284,71,0.7011498105328455,0.6406438631790744,0.16348063300243085,0.13246055456039602,0.37942524068343686
500,KX2-391,RidgeSelectK,single_omics,expr,1,284,71,0.5275544066979688,0.4604627766599597,0.14690904030809865,0.11667967962174716,0.2181157571806589
500,KX2-391,RidgeSelectK,single_omics,expr,2,284,71,0.6879856440612934,0.6858709412627124,0.15590005261677248,0.12459982452355499,0.45332169182772064
500,KX2-391,RidgeSelectK,single_omics,expr,3,284,71,0.4934199710889284,0.377028839704896,0.15941136416367419,0.12832302456663303,0.12681796790875666
500,KX2-391,RidgeSelectK,single_omics,expr,4,284,71,0.595164833919088,0.5457075788061703,0.16027621876121212,0.12234674667782941,0.3349045440825653
500,KX2-391,RidgeSelectK,single_omics,expr,5,284,71,0.6900602675542501,0.6281354795439302,0.1635302912810647,0.13481050087781635,0.3790481763899445
1000,KX2-391,RidgeSelectK,single_omics,expr,1,284,71,0.5435349720836855,0.488095238095238,0.14786627102304079,0.11738063681469423,0.20789335061344094
1000,KX2-391,RidgeSelectK,single_omics,expr,2,284,71,0.7048919556129765,0.6993519395948288,0.15229640851655313,0.11986761980352019,0.47830263657723726
1000,KX2-391,RidgeSelectK,single_omics,expr,3,284,71,0.5112232613522711,0.4104627766599597,0.158448984592266,0.12719889727751013,0.13732908768615903
1000,KX2-391,RidgeSelectK,single_omics,expr,4,284,71,0.5702646925489179,0.5438967136150233,0.16521388516709493,0.12544823178352196,0.2932938137102562
1000,KX2-391,RidgeSelectK,single_omics,expr,5,284,71,0.6922756997251137,0.6510731052984573,0.1607889537390242,0.13005259880974485,0.3996923128089015
250,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,1,284,71,0.5199363321457279,0.4376257545271629,0.14772463979776249,0.11612541963441601,0.20941003601158814
250,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,2,284,71,0.6836264166360888,0.6840600608897415,0.15683092263795534,0.12738398562086312,0.4467738336938838
250,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,3,284,71,0.4991937378050302,0.3602280348759222,0.1569758746810649,0.12488378908497241,0.15329513100815806
250,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,4,284,71,0.5698437442909932,0.505868544600939,0.16576059823138364,0.12970414289418503,0.2886089197044982
250,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,5,284,71,0.7017365500147942,0.6442320590207914,0.16336136208351948,0.13236332783352894,0.3803304185047004
500,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,1,284,71,0.527710641710678,0.4575788061703554,0.14693027045501267,0.11665223588499772,0.21788975724591975
500,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,2,284,71,0.6881973200157145,0.6856026626889389,0.15588871278402536,0.12469676309303501,0.4534012173316241
500,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,3,284,71,0.494191947440069,0.37454728370221324,0.15945700618964384,0.12842752356686815,0.126317884334613
500,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,4,284,71,0.5939921814446647,0.5456069751844399,0.1605042165074732,0.12275094134225023,0.3330109615836572
500,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,5,284,71,0.6899509768522928,0.6236753856472165,0.16344617026849004,0.13472092294195223,0.37968685514140665
1000,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,1,284,71,0.5361318189117441,0.47404426559356133,0.14885843482914896,0.11867176258348772,0.19722781904259334
1000,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,2,284,71,0.7001158636530163,0.6957637136706086,0.15310310156203455,0.12087348307604438,0.47276128165980924
1000,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,3,284,71,0.49855621790092974,0.3862843729040912,0.16018208567713266,0.12914231479989668,0.11835424210154133
1000,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,4,284,71,0.5598309314029433,0.5317907444668007,0.16712373877060452,0.12733837805260098,0.2768604906289963
1000,KX2-391,RidgeSelectK,metadata_augmented,expr_plus_lineage,5,284,71,0.6917544778964346,0.6554996646545941,0.16131114993297285,0.1307991766583742,0.39578672817897154
250,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,1,284,71,0.517572708259924,0.4330650570087189,0.14819957143685097,0.11694819126828296,0.20431840387738798
250,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,2,284,71,0.6839119069942086,0.6833222948118646,0.1569829983897317,0.1274590128242089,0.44570040921343956
250,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,3,284,71,0.4960928844938556,0.35368879946344733,0.15742908703687736,0.12565017874992165,0.14839895111083712
250,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,4,284,71,0.5580901228487414,0.4908115358819584,0.16644702463941558,0.1300009901754069,0.2827048784769396
250,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,5,284,71,0.7077023952592797,0.6516096579476861,0.1632829270475358,0.13218635800670794,0.38092532218545816
500,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,1,284,71,0.5033578420387034,0.4200871898054996,0.15232033314093882,0.1220263280160872,0.1594545930557335
500,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,2,284,71,0.6851439656044597,0.6599988263044343,0.15662481711661452,0.12498197146060482,0.4482269660433855
500,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,3,284,71,0.47808046541012617,0.3532863849765258,0.16220549047314686,0.12989517170285678,0.09593983239648007
500,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,4,284,71,0.5864669399785942,0.5319919517102616,0.16106444809891132,0.12177499800181411,0.32834665464503276
500,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,5,284,71,0.6868005028905263,0.6256539235412474,0.1646329003026737,0.1351904646093024,0.3706463656447103
1000,KX2-391,RidgeSelectK,signal_fusion,signal_multiomics,1,284,71,0.4668598261170662,0.38001341381623066,0.1571615750104268,0.12261951729806005,0.10517488987973256
