compound,model_family,strategy,omics_layer,strategy_label,pearson,rmse,r2,single_model_family,single_omics_layer,best_single_pearson,best_single_rmse,best_single_r2,pearson_gain_vs_best_single,rmse_delta_vs_best_single
"1S,3R-RSL-3",RidgeCV,early_fusion,multiomics,Early fusion,0.44309266053429014,0.1873745216591962,0.14239986012689182,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.12834635542688794,0.018624326439567462
"1S,3R-RSL-3",RidgeCV,early_fusion_lineage,multiomics_plus_lineage,Early fusion + lineage,0.44254734622824393,0.1873527425618431,0.1430673588647821,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.12889166973293414,0.018602547342214337
"1S,3R-RSL-3",RidgeCV,late_fusion,multiomics,Late fusion,0.42067943502914373,0.18882457893877097,0.14049650935636498,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.15075958093203434,0.02007438371914222
"1S,3R-RSL-3",RidgeSelectK,late_fusion,multiomics,Late fusion,0.42067943502914373,0.18882457893877097,0.14049650935636498,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.15075958093203434,0.02007438371914222
"1S,3R-RSL-3",LightGBM,pathway_modules,multiomics_pathway,Pathway modules,0.40068909269735553,0.1876239095367272,0.1527942222151228,RidgeCV,expr,0.5714390159611781,0.16875019521962875,0.3127566242054155,-0.17074992326382255,0.018873714317098444
BI-2536,RidgeCV,metadata_augmented,expr_plus_lineage,Expression + lineage,0.6343494599954249,0.16345324634465058,0.3950623374804542,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.0036632771002831355,0.0006171922462141488
BI-2536,RidgeSelectK,metadata_augmented,expr_plus_lineage,Expression + lineage,0.6333435037326186,0.16363863520894215,0.3935824886208453,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.004669233363089442,0.0008025811105057123
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,multiomics,Learned late fusion,0.6225515687912375,0.1650606489423068,0.38344649946747633,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.01546116830447053,0.002224594843870359
BI-2536,RidgeSelectK+PositiveStack,learned_late_fusion,multiomics,Learned late fusion,0.6225515687912375,0.1650606489423068,0.38344649946747633,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.01546116830447053,0.002224594843870359
BI-2536,RidgeCV,signal_fusion,signal_multiomics,Focused fusion,0.5983745956661937,0.16876809314136648,0.35392198691216414,RidgeCV,expr,0.638012737095708,0.16283605409843643,0.3997152762591575,-0.039638141429514384,0.0059320390429300485
