Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,moa_class,library
gs_ind_0,Membrane Organization (GO:0061024),1/18,0.17651688603172916,0.2559166749158899,8.012106537530267,13.895706721930125,PLAAT3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Memory (GO:0007613),1/16,0.15850137958553345,0.24336825999353562,9.052487698195735,16.674609754451126,PLK2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Mesoderm Formation (GO:0001707),1/7,0.07260681135934059,0.18752752602743597,21.65710560625815,56.800015965409045,ITGA3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Mesodermal Cell Differentiation (GO:0048333),1/6,0.06255558460384208,0.18752752602743597,25.604006163328197,70.9666178357158,ITGA3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),1/8,0.08255382446596186,0.18828065229079022,18.76271186440678,46.79992190048931,PLK2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Mitotic Cell Cycle Phase Transition (GO:0044772),2/21,0.020486724634220584,0.18577859322170806,12.395411605937921,48.19308987368141,PLK2;EPS8,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),1/6,0.06255558460384208,0.18752752602743597,25.604006163328197,70.9666178357158,PLK2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Mitotic Nuclear Division (GO:0140014),1/5,0.05239909039586638,0.18577859322170806,31.305084745762713,92.31450149469747,EPS8,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Mitotic Spindle Organization (GO:0007052),1/10,0.10213937416056053,0.2032365098092786,14.801962533452274,33.76944873592447,PLK2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Modulation Of Chemical Synaptic Transmission (GO:0050804),1/31,0.28484980927774256,0.33766390765446685,4.575437621561544,5.745803555628402,MYOF,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Muscle Contraction (GO:0006936),1/31,0.28484980927774256,0.33766390765446685,4.575437621561544,5.745803555628402,MYOF,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Myeloid Cell Development (GO:0061515),1/6,0.06255558460384208,0.18752752602743597,25.604006163328197,70.9666178357158,MYB,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Myeloid Cell Differentiation (GO:0030099),1/12,0.12132046229014064,0.22006967578211556,12.218865143699336,25.773494005998238,MYB,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,N-acylphosphatidylethanolamine Metabolic Process (GO:0070292),1/2,0.021287310365956994,0.18577859322170806,94.01694915254237,361.9317974849348,PLAAT3,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Angiogenesis (GO:0016525),1/21,0.20284291951614766,0.2785518965186535,6.832162050434063,10.899507957226028,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Apoptotic Process (GO:0043066),2/104,0.30651279297713496,0.3557737775627459,2.287120239623449,2.7045100444304184,THBS1;PLK2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),1/17,0.16755624278941936,0.24941578125142577,8.500770416024654,15.186084052039565,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Binding (GO:0051100),1/21,0.20284291951614766,0.2785518965186535,6.832162050434063,10.899507957226028,MDFI,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043537),1/9,0.09239766755109105,0.19799500189519512,16.549351944167498,39.414822702220405,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903588),1/1,0.010699001426533523,0.18577859322170806,282.1525423728813,1280.2967493643682,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181),1/17,0.16755624278941936,0.24941578125142577,8.500770416024654,15.186084052039565,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090),1/28,0.2611450690431787,0.32643133630397336,5.080123266563945,6.820975873837755,IGFBP4,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Catabolic Process (GO:0009895),1/14,0.1401051591343623,0.22672619113029585,10.401129943502825,20.44198556529661,NQO1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Cell Differentiation (GO:0045596),2/68,0.1636520635380084,0.24941578125142577,3.572747658620235,6.466718524010768,MYB;FOXA2,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Cell Junction Assembly (GO:1901889),1/6,0.06255558460384208,0.18752752602743597,25.604006163328197,70.9666178357158,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Cell Migration (GO:0030336),1/50,0.4187728932273862,0.4524139289714144,2.799691833590139,2.436926039223872,ADGRG1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090051),1/2,0.021287310365956994,0.18577859322170806,94.01694915254237,361.9317974849348,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Cell Population Proliferation (GO:0008285),2/113,0.3424755304587915,0.3871462518229817,2.0954291558492644,2.2453677310572613,ADGRG1;THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Cell-Matrix Adhesion (GO:0001953),1/8,0.08255382446596186,0.18828065229079022,18.76271186440678,46.79992190048931,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Cell-Substrate Adhesion (GO:0010812),1/12,0.12132046229014064,0.22006967578211556,12.218865143699336,25.773494005998238,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Cell-Substrate Junction Organization (GO:0150118),1/3,0.03176603295304525,0.18577859322170806,56.389830508474574,194.50869641579146,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Cellular Process (GO:0048523),2/153,0.4936418114047988,0.5147601776681057,1.5190203230849402,1.0723449583153914,ADGRG1;THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288),1/22,0.21143606087960992,0.2883219011994681,6.512022073314939,10.118592442281463,THBS1,Cytoskeleton/cell cycle,GO_BP
gs_ind_0,Negative Regulation Of Chemotaxis (GO:0050922),1/13,0.13076186133430107,0.2207667788760927,11.23728813559322,22.860885722554244,THBS1,Cytoskeleton/cell cycle,GO_BP
