compound,model_family,strategy,omics_layer_model,fold,omics_layer,raw_importance,importance_fraction
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,4,meta,0.02435998350919442,0.018940497766461364
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,5,expr,1.245930939523276,0.9788696514419043
Vincristine,RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,5,meta,0.026895261276781914,0.021130348558095684
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,1,expr,1.260097654644879,0.9799709997310176
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,1,meta,0.025754329741139215,0.020029000268982484
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,2,expr,1.195765689981489,0.9742247199459926
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,2,meta,0.031636638762312444,0.025775280054007487
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,3,expr,1.2437885876321995,0.976796802051526
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,3,meta,0.029545421058166526,0.02320319794847404
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,4,expr,1.2617721873321412,0.9810595022335387
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,4,meta,0.02435998350919442,0.018940497766461364
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,5,expr,1.245930939523276,0.9788696514419043
Vincristine,RidgeCV,metadata_augmented,expr_plus_lineage,5,meta,0.026895261276781914,0.021130348558095684
Vincristine,RidgeSelectK,single_omics,expr,1,expr,1.2703309125522013,1.0
Vincristine,RidgeSelectK,single_omics,expr,2,expr,1.2057171530962496,1.0
Vincristine,RidgeSelectK,single_omics,expr,3,expr,1.253979623515894,1.0
Vincristine,RidgeSelectK,single_omics,expr,4,expr,1.2713087515959016,1.0
Vincristine,RidgeSelectK,single_omics,expr,5,expr,1.2559006559298729,1.0
Vincristine,RidgeSelectK,single_omics,mut,1,mut,1.7445709298966854,1.0
Vincristine,RidgeSelectK,single_omics,mut,2,mut,1.7021025496682214,1.0
Vincristine,RidgeSelectK,single_omics,mut,3,mut,1.7247902406547888,1.0
Vincristine,RidgeSelectK,single_omics,mut,4,mut,1.7658969879728021,1.0
Vincristine,RidgeSelectK,single_omics,mut,5,mut,1.707582092465752,1.0
Vincristine,RidgeSelectK,single_omics,cnv,1,cnv,1.0304301272147136,1.0
Vincristine,RidgeSelectK,single_omics,cnv,2,cnv,0.9957577979094101,1.0
Vincristine,RidgeSelectK,single_omics,cnv,3,cnv,1.0889632703554257,1.0
Vincristine,RidgeSelectK,single_omics,cnv,4,cnv,1.0748965282523113,1.0
Vincristine,RidgeSelectK,single_omics,cnv,5,cnv,1.0266789107821261,1.0
Vincristine,RidgeSelectK,early_fusion,multiomics,1,cnv,0.19369721272579515,0.16077871975692576
Vincristine,RidgeSelectK,early_fusion,multiomics,1,expr,0.9579916303803664,0.795182675594038
Vincristine,RidgeSelectK,early_fusion,multiomics,1,mut,0.05305524876518441,0.04403860464903625
Vincristine,RidgeSelectK,early_fusion,multiomics,2,cnv,0.15815850757663016,0.13786340719872558
Vincristine,RidgeSelectK,early_fusion,multiomics,2,expr,0.9222843568276886,0.8039356578826128
Vincristine,RidgeSelectK,early_fusion,multiomics,2,mut,0.06676879088757369,0.058200934918661795
Vincristine,RidgeSelectK,early_fusion,multiomics,3,cnv,0.1875338087196814,0.15585890168043906
Vincristine,RidgeSelectK,early_fusion,multiomics,3,expr,0.9519736645077155,0.7911830447631907
Vincristine,RidgeSelectK,early_fusion,multiomics,3,mut,0.06372061767873605,0.052958053556370184
Vincristine,RidgeSelectK,early_fusion,multiomics,4,cnv,0.18689081337564808,0.15292717601527536
Vincristine,RidgeSelectK,early_fusion,multiomics,4,expr,0.9568037030674004,0.7829239204869408
Vincristine,RidgeSelectK,early_fusion,multiomics,4,mut,0.07839575060654515,0.06414890349778374
Vincristine,RidgeSelectK,early_fusion,multiomics,5,cnv,0.20623770476712902,0.1699094340094218
Vincristine,RidgeSelectK,early_fusion,multiomics,5,expr,0.9561463245120688,0.7877234718621045
Vincristine,RidgeSelectK,early_fusion,multiomics,5,mut,0.05142558623451602,0.042367094128473726
Vincristine,RidgeSelectK,signal_fusion,signal_multiomics,1,expr,1.2703309125522013,1.0
Vincristine,RidgeSelectK,signal_fusion,signal_multiomics,2,expr,1.2057171530962496,1.0
Vincristine,RidgeSelectK,signal_fusion,signal_multiomics,3,expr,1.253979623515894,1.0
Vincristine,RidgeSelectK,signal_fusion,signal_multiomics,4,expr,1.2713087515959016,1.0
Vincristine,RidgeSelectK,signal_fusion,signal_multiomics,5,expr,1.2559006559298729,1.0
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,1,cnv,0.19192171386063347,0.15938487278342361
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,1,expr,0.9497638113006395,0.7887486058423652
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,1,meta,0.011172083532718546,0.009278059666980561
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,1,mut,0.051282473793144934,0.04258846170723062
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,2,cnv,0.15782571190622807,0.13728181829402303
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,2,expr,0.9166244299939929,0.7973090501062525
Vincristine,RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,2,meta,0.008999440401046199,0.007827999170492326
