compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
Oligomycin A,XGBoost,early_fusion_lineage,multiomics_plus_lineage,3,406.0,102,0.3490300794717295,0.37202503802636117,0.23591761899134414,0.17366927053195005,0.11277099208880625
Oligomycin A,XGBoost,early_fusion_lineage,multiomics_plus_lineage,4,407.0,101,0.4465216527756372,0.44447291788002324,0.19902957310323974,0.16074120788143412,0.19521762879358318
Oligomycin A,XGBoost,early_fusion_lineage,multiomics_plus_lineage,5,407.0,101,0.47108056788349867,0.506750224265296,0.22491103989659508,0.17526248692636295,0.21907577154437174
Oligomycin A,XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,1,406.0,102,0.40393083257337503,0.41156579909784297,0.2245842429911045,0.17625187766537362,0.15868816576378408
Oligomycin A,XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,2,406.0,102,0.2851660768586387,0.29455006062234756,0.23839238201946578,0.1843740918317481,0.021647669731542973
Oligomycin A,XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,3,406.0,102,0.35446682869859414,0.37027215000197905,0.235927747595978,0.17156693523786232,0.11269480799721754
Oligomycin A,XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,4,407.0,101,0.4532992383869301,0.4527548048922539,0.19813382863143744,0.15759302258934124,0.2024452700783098
Oligomycin A,XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,5,407.0,101,0.48376106977840777,0.5250730934904089,0.2236239146568073,0.17511736746822107,0.22798837225199087
Oligomycin A,XGBoost,metadata_augmented,expr_plus_lineage,1,406.0,102,0.40393083257337503,0.41156579909784297,0.2245842429911045,0.17625187766537362,0.15868816576378408
Oligomycin A,XGBoost,metadata_augmented,expr_plus_lineage,2,406.0,102,0.2851660768586387,0.29455006062234756,0.23839238201946578,0.1843740918317481,0.021647669731542973
Oligomycin A,XGBoost,metadata_augmented,expr_plus_lineage,3,406.0,102,0.35446682869859414,0.37027215000197905,0.235927747595978,0.17156693523786232,0.11269480799721754
Oligomycin A,XGBoost,metadata_augmented,expr_plus_lineage,4,407.0,101,0.4532992383869301,0.4527548048922539,0.19813382863143744,0.15759302258934124,0.2024452700783098
Oligomycin A,XGBoost,metadata_augmented,expr_plus_lineage,5,407.0,101,0.48376106977840777,0.5250730934904089,0.2236239146568073,0.17511736746822107,0.22798837225199087
Oligomycin A,XGBoost,late_fusion,multiomics,1,,102,0.41711716383038855,0.4008447885175104,0.22751739594437434,0.18338958890439053,0.13656897548152735
Oligomycin A,XGBoost,late_fusion,multiomics,2,,102,0.33391116196355014,0.35825520523688714,0.23213091064433053,0.1783548347740221,0.072366364024677
Oligomycin A,XGBoost,late_fusion,multiomics,3,,102,0.4039603629146895,0.41796201322016835,0.23601498260214546,0.18658142511921574,0.11203851907078011
Oligomycin A,XGBoost,late_fusion,multiomics,4,,101,0.4704507596837959,0.48610366919044845,0.2016345497593482,0.1662065823110614,0.17401315385285754
Oligomycin A,XGBoost,late_fusion,multiomics,5,,101,0.4730486088523995,0.508870225663243,0.2333853270807458,0.18272573149397284,0.1591191791132306
Oligomycin A,LightGBM,single_omics,expr,1,406.0,102,0.41371116697830324,0.42773778763146714,0.22372320920891003,0.1748735539851706,0.1651268122692131
Oligomycin A,LightGBM,single_omics,expr,2,406.0,102,0.28337260204879827,0.2855761511155772,0.23900812361909105,0.18751075782119744,0.016587187459695008
Oligomycin A,LightGBM,single_omics,expr,3,406.0,102,0.35230157790967653,0.3806198438233315,0.23719041362192597,0.17174647653428224,0.10317182312831397
Oligomycin A,LightGBM,single_omics,expr,4,407.0,101,0.42034106417038325,0.44746651135701804,0.20282081214623596,0.1620164934526934,0.1642656236572292
Oligomycin A,LightGBM,single_omics,expr,5,407.0,101,0.4610534262015399,0.500599890539384,0.2260181115165997,0.17409584384194146,0.21136901961240206
Oligomycin A,LightGBM,single_omics,mut,1,406.0,102,0.0705949612577498,0.08115963336472269,0.2507646462850884,0.2049897575902635,-0.04889266637749823
Oligomycin A,LightGBM,single_omics,mut,2,406.0,102,0.16455831448674207,0.12048335845038123,0.24055313920490812,0.1905541307592054,0.0038319808566951163
Oligomycin A,LightGBM,single_omics,mut,3,406.0,102,0.12424028774458264,0.09910602710756514,0.25400022985998066,0.2120403341129762,-0.028450039108853353
Oligomycin A,LightGBM,single_omics,mut,4,407.0,101,0.045881007254080286,0.023145020384391382,0.22749226159913552,0.18608231856257715,-0.051420615420604276
Oligomycin A,LightGBM,single_omics,mut,5,407.0,101,0.07761692620087576,0.048783328871438485,0.25827635753273787,0.2079009626268006,-0.029808935692999805
Oligomycin A,LightGBM,single_omics,cnv,1,406.0,102,0.35972661805585937,0.34293097503451103,0.22930003021970272,0.18637840474459652,0.12298573630332943
Oligomycin A,LightGBM,single_omics,cnv,2,406.0,102,0.177828265819497,0.16540945235793644,0.24410483949831166,0.19217550855921348,-0.02580146909609371
