model_family,strategy,omics_layer,pearson_5-omics (389),r2_5-omics (389),rmse_5-omics (389),n_folds_5-omics (389),pearson_no-prot (508),r2_no-prot (508),rmse_no-prot (508),n_folds_no-prot (508),pearson_no-prot-no-meth (574),r2_no-prot-no-meth (574),rmse_no-prot-no-meth (574),n_folds_no-prot-no-meth (574),delta_pearson_no-prot_vs_5-omics,delta_pearson_no-meth_vs_no-prot,delta_pearson_no-meth_vs_5-omics,delta_r2_no-meth_vs_5-omics
RidgeSelectK,single_omics,cnv,0.14676978987031744,-0.44181495322127123,0.2436497924408002,60,0.17936819342941449,-0.3975195477555321,0.2429208583458423,60.0,0.18550284080879012,-0.45317321075782685,0.2495608576301773,60.0,0.032598403559097044,0.006134647379375635,0.03873305093847268,-0.011358257536555616
RidgeSelectK,single_omics,mut,0.10249068599360975,-0.03140058931696805,0.2089024890163956,60,0.12791079571888353,-0.02625293080833528,0.21075418239067767,60.0,0.1326594975967004,-0.01852894183387467,0.21266594013293927,60.0,0.025420109725273782,0.004748701877816869,0.03016881160309065,0.012871647483093378
RidgeCV,single_omics,mut,0.10249068599360975,-0.03140058931696805,0.2089024890163956,60,0.12791079571888353,-0.02625293080833528,0.21075418239067767,60.0,0.1326594975967004,-0.01852894183387467,0.21266594013293927,60.0,0.025420109725273782,0.004748701877816869,0.03016881160309065,0.012871647483093378
LightGBM,single_omics,mut,0.07374167606290524,-0.04967605993677168,0.2104197083177598,60,0.11589057760953606,-0.02313380253234679,0.21038796586272052,60.0,0.12373207375676706,-0.01289681327753678,0.21200734468752475,60.0,0.04214890154663081,0.007841496147231009,0.04999039769386182,0.036779246659234904
XGBoost,single_omics,mut,0.08570142176524477,-0.018097826832709125,0.20742294564699373,60,0.1210233877924553,-0.0022439619873513847,0.208243754106452,60.0,0.11555530292394714,0.002230884784950742,0.21045853515075122,60.0,0.035321966027210536,-0.005468084868508166,0.02985388115870237,0.020328711617659867
ElasticNet,single_omics,mut,0.14793631477019478,-0.01316396102479613,0.20696093181951838,22,0.12130086859587227,-0.009040611253287471,0.20900196943002455,26.0,0.08672432416974384,-0.006221344762868058,0.21133623980863422,24.0,-0.026635446174322508,-0.03457654442612844,-0.06121199060045095,0.0069426162619280725
ElasticNet,single_omics,meth,0.37769009390973135,0.11593159133434723,0.1930561286714054,59,0.41599200502670786,0.14957287725367524,0.19121436814402523,60.0,,,,,0.038301911116976506,,,
ElasticNet,single_omics,prot,-0.01502270873534245,-0.02490653483897327,0.20818224298302263,13,,,,,,,,,,,,
LightGBM,single_omics,meth,0.42505074791896724,0.16356210531624563,0.18764444279233572,60,0.47130715608156576,0.21487554995308594,0.1835504424002708,60.0,,,,,0.04625640816259852,,,
LightGBM,single_omics,prot,0.026679626949217262,-0.08077047038980624,0.213681765649049,60,,,,,,,,,,,,
RidgeCV,single_omics,meth,0.452388737087896,0.19039105759148375,0.18464241163351092,60,0.47021653029706234,0.2179441498248135,0.183147081600552,60.0,,,,,0.01782779320916633,,,
RidgeCV,single_omics,prot,0.03330654802243345,-0.08624918124603598,0.21412117948890008,60,,,,,,,,,,,,
RidgeSelectK,single_omics,meth,0.452388737087896,0.19039105759148375,0.18464241163351092,60,0.47021653029706234,0.2179441498248135,0.183147081600552,60.0,,,,,0.01782779320916633,,,
RidgeSelectK,single_omics,prot,0.03330654802243345,-0.08624918124603598,0.21412117948890008,60,,,,,,,,,,,,
XGBoost,single_omics,meth,0.43594359501057955,0.16891227861409674,0.187170279199822,60,0.4773788483398597,0.2147336974708618,0.18372258561742127,60.0,,,,,0.041435253329280164,,,
XGBoost,single_omics,prot,0.019765183131605527,-0.05422886909163228,0.21113815618373735,60,,,,,,,,,,,,
