compound,coverage,aac_mean,aac_std,aac_min,aac_max,eligible,selection_score
(-)-Epigallocatechin gallate,482,0.10087123,0.0815898,0.0,0.4372117,True,39.32628509402275
Bosutinib,458,0.2456045,0.08495877,0.0086375,0.62178934,True,38.9111163765192
ML239,521,0.061440993,0.07408415,0.0,0.33417326,True,38.59784100949764
spautin-1,493,0.10515363,0.07821889,0.0,0.42163834,True,38.56191386282444
CD-1530,434,0.10021145,0.08863928,0.0,0.6582397,True,38.46944825351238
DTIC-Dome,495,0.06834661,0.077488124,0.0,0.4270379,True,38.3566215634346
Piperlongumine,519,0.14729415,0.07365712,0.0,0.5392499,True,38.228044129908085
Cytochalasin B,529,0.12607695,0.07178054,0.0,0.35392326,True,37.97190568596125
Cyclosporin A,503,0.058723826,0.07451296,0.0,0.42055562,True,37.4800181388855
Linsitinib,503,0.06626848,0.07439638,0.0,0.64888036,True,37.421378783881664
NVP-BSK805,539,0.16461767,0.068945445,0.01069996,0.5045744,True,37.16159491986036
AZ-3146,488,0.074744724,0.075901404,0.0,0.45347795,True,37.03988516330719
LRRK2-IN-1,366,0.14626327,0.10033609,0.0,0.5428149,True,36.72300884127617
Hyperforin,481,0.08412427,0.076017566,0.0,0.47934005,True,36.56444925814867
Ruxolitinib,539,0.058627438,0.067819916,0.0,0.6086777,True,36.554934568703175
Masitinib,493,0.11310962,0.07392691,0.0,0.9667169,True,36.44596700370312
ML320,505,0.056369577,0.071822576,0.0,0.28835154,True,36.27040099352598
GDC-0879,519,0.048031323,0.06974687,0.0,0.4733283,True,36.19862388074398
Bortezomib,484,0.22028923,0.074733265,0.0,0.46196645,True,36.170900136232376
Simvastatin,456,0.111390114,0.079185225,0.0,0.4633063,True,36.10846263170242
BRD-K03536150,507,0.07280197,0.07085963,0.0,0.3795409,True,35.925834126770496
Gossypol,506,0.12249284,0.070708066,0.0,0.36399516,True,35.77828150987625
PF-184,480,0.14115085,0.07446503,0.0,0.41730386,True,35.74321389198303
ETP-46464,346,0.16196974,0.10310406,0.0,0.63647974,True,35.67400558292866
Zebularine,541,0.059450384,0.065305635,0.0,0.34240717,True,35.33034871518612
BRD-K28456706,500,0.054983005,0.07053958,0.0,0.43563327,True,35.26978939771652
RAD51 inhibitor B02,506,0.12394709,0.06964603,0.0,0.3956346,True,35.24089151620865
N-Phthalyl-L-tryptophan,487,0.053770475,0.072223894,0.0,0.31252927,True,35.17303652316332
BRD1812,529,0.13772969,0.06612243,0.0,0.3788418,True,34.978764191269875
TGX221,530,0.082695045,0.0659044,0.0,0.33870536,True,34.92933265864849
NSC48300,525,0.07444611,0.06647165,0.0,0.33654702,True,34.897616878151894
Compound 23 citrate,521,0.110337794,0.06685573,0.0,0.44458973,True,34.831834614276886
Cerulenin,524,0.13595739,0.066441804,0.0,0.39239913,True,34.815505385398865
Alvocidib,263,0.45978734,0.13232127,0.0406375,0.80847555,True,34.80049356818199
Alpelisib,328,0.1580755,0.10578287,0.0,0.76816016,True,34.69678020477295
vorinostat:carboplatin (1:1 mol/mol),451,0.123667434,0.07653062,0.0,0.52341616,True,34.51530982553959
Dabrafenib,256,0.10143261,0.13456224,0.0,0.9526944,True,34.447933197021484
Idelalisib,503,0.08890208,0.0682524,0.0,0.4773004,True,34.33095698058605
Pac-1,507,0.1449608,0.06737425,0.0,0.40010294,True,34.158745653927326
BRD-K11533227,461,0.06444536,0.07407989,0.0,0.630924,True,34.150830917060375
BRD4132,491,0.1086168,0.06926308,0.0,0.3295692,True,34.00817143172026
Oxaliplatin,409,0.074342944,0.08294779,0.0,0.45260015,True,33.92564636468887
Chir-99021,523,0.0678438,0.064720914,0.0,0.30934194,True,33.849037900567055
Curcumin,531,0.20796223,0.06363942,0.0,0.48726475,True,33.792530581355095
BRD-K80183349,524,0.07112817,0.06433314,0.0,0.35870573,True,33.71056580543518
LE-135,487,0.09535364,0.06914233,0.0,0.42227235,True,33.67231310904026
AA-COCF3,445,0.13627213,0.075276755,0.0,0.45730567,True,33.498155884444714
AZD-7545,527,0.07329685,0.06296788,0.0,0.32442248,True,33.1840735822916
salermide,352,0.105747126,0.093837984,0.0,0.6840201,True,33.030970335006714
serdemetan:SCH-529074 (1:1 mol/mol),516,0.13781978,0.06361835,0.0,0.42074975,True,32.82706707715988
Bemcentinib,365,0.18152031,0.08977896,0.0,0.7510431,True,32.76932030916214
PLX4720,531,0.046231113,0.06157131,0.0,0.4475596,True,32.69436625018716
BRD-A86708339,259,0.31903028,0.1259242,0.0,0.62746274,True,32.61436775326729
BRD-K99006945,268,0.06999867,0.121669464,0.0,0.89431614,True,32.60741630196571
Compound 7d-cis,460,0.09893309,0.07035154,0.0,0.28981137,True,32.361708879470825
ML031,472,0.08485372,0.068338595,0.0,0.32570025,True,32.255816996097565
Telomerase Inhibitor IX,532,0.18890576,0.060520776,0.0,0.34230328,True,32.197052627801895
PF-750,456,0.11597899,0.07056126,0.0,0.5144735,True,32.17593455314636
WZ8040,399,0.25278038,0.080577865,0.0,0.754115,True,32.15056823194027
Incyclinide,389,0.13112713,0.08262579,0.0,0.45391485,True,32.141432866454124
salermide:PLX-4032 (12:1 mol/mol),459,0.05284276,0.06988367,0.0,0.4295509,True,32.07660312205553
Vemurafenib,470,0.04778112,0.068238705,0.0,0.37048003,True,32.072191536426544
Phloretin,536,0.093846,0.05966941,0.0,0.37531248,True,31.98280319571495
UNC0638,516,0.07878602,0.06126183,0.0,0.359662,True,31.611103758215904
carboplatin:UNC0638 (2:1 mol/mol),495,0.05720307,0.06359232,0.0,0.4236103,True,31.47819947451353
PD 153035,380,0.07621588,0.0826031,0.0,0.6578987,True,31.389176845550537
SB-525334,516,0.08362652,0.060722813,0.0,0.27645174,True,31.332971513271332
DBeQ,524,0.19602472,0.05950951,0.0,0.3931014,True,31.182982355356216
KHS101,502,0.17739856,0.06191161,0.00365375,0.45169312,True,31.079627729952335
Valdecoxib,514,0.12623666,0.060333483,0.0,0.42228064,True,31.01141022145748
BIBR-1532,531,0.0777207,0.058018472,0.0,0.2980868,True,30.80780865624547
Tamoxifen,488,0.06503478,0.06309828,0.0,0.3302322,True,30.791961431503296
GSK1059615,360,0.25893804,0.08525588,0.00308518,0.5639061,True,30.692118108272552
NSC95397,474,0.07661295,0.064115,0.0,0.33768997,True,30.39051130414009
BRD-K92856060,489,0.059071437,0.062059335,0.0,0.46185374,True,30.347015015780926
Bexarotene,521,0.0361681,0.058233917,0.0,0.44799253,True,30.339870631694794
ISOX:bortezomib (250:1 mol/mol),498,0.20780988,0.060578655,0.0,0.43909082,True,30.168170414865017
ML006,524,0.052105505,0.0574538,0.0,0.34860685,True,30.105791196227074
Brivanib,513,0.059657354,0.058425557,0.0,0.30588305,True,29.972310673445463
NSC632839,431,0.17150807,0.0695203,0.02023214,0.3584303,True,29.96325021237135
BRD-K26531177,476,0.22056822,0.06294179,0.03597411,0.47946602,True,29.960291862487793
Doramapimod,474,0.052829806,0.063149564,0.0,0.696388,True,29.932893320918083
Belinostat,274,0.35757184,0.10917828,0.0955768,0.6939311,True,29.91484935581684
BIX-01294,458,0.11066472,0.06512868,0.0,0.4233192,True,29.828933879733086
Ko-143,538,0.076277755,0.055326156,0.0,0.30430427,True,29.76547209918499
VER-155008,527,0.08372663,0.05610876,0.0,0.4137704,True,29.5693173520267
pifithrin-alpha,516,0.06753329,0.057291657,0.0,0.36085948,True,29.56249487400055
necrostatin-1,507,0.06482766,0.05795886,0.0,0.31907567,True,29.385141994804144
Prochlorperazine,537,0.09950441,0.054422114,0.0,0.3357759,True,29.224675241857767
Purmorphamine,436,0.06694589,0.066818565,0.0,0.32364798,True,29.13289439678192
Tivantinib,268,0.26052442,0.10863312,0.01587363,0.5460234,True,29.11367705464363
HBX-41108,348,0.17670737,0.083620995,0.01543599,0.54727596,True,29.100106358528137
